Date;Time;Severity;TID;This;Function;Message
2018/10/29;18:12:31.644;DEBUG;18364;00000000;InitLog@99;"InitLog"
2018/10/29;18:12:31.646;DEBUG;18364;00000000;DllMain@588;"DLL is attach to process"
2018/10/29;18:12:31.646;DEBUG;18364;00000000;GetCurrentProcInfo@159;"Current Process Name: EjercicioFinal - Sistema de facturacion.exe"
2018/10/29;18:12:31.646;DEBUG;18364;00000000;GetCurrentProcInfo@167;"Current Process ID: 18360"
2018/10/29;18:12:31.646;DEBUG;18364;00000000;GetCurrentProcInfo@173;"Current Directory: D:\Google Drive Sync\Primero\Projects\Sistema de facturacion\EjercicioFinal - Sistema de facturacion\bin\Debug"
2018/10/29;18:12:31.646;DEBUG;18364;00000000;InitEvents@571;"Init events: CAMOverlayStarted18360"
2018/10/29;18:12:31.748;DEBUG;16488;00000000;InitHook@447;"Init hook"
2018/10/29;18:12:31.748;DEBUG;16488;00000000;InitNamedPipes@438;"Named pipe initialized: "
2018/10/29;18:12:31.772;DEBUG;16488;00000000;HookD3D9@220;"hook_dxgi: failed to get system d3d9 module"
2018/10/29;18:12:31.772;DEBUG;16488;00000000;HookDXGI@173;"hook_dxgi: failed to get system dxgi module"
2018/10/29;18:12:31.773;DEBUG;16488;00000000;TryHook@515;"DXGI(D10, D11, D12) is not able to hook"
2018/10/29;18:12:31.815;DEBUG;16488;00000000;HookD3D9@220;"hook_dxgi: failed to get system d3d9 module"
2018/10/29;18:12:31.815;DEBUG;16488;00000000;HookDXGI@173;"hook_dxgi: failed to get system dxgi module"
2018/10/29;18:12:31.815;DEBUG;16488;00000000;TryHook@515;"DXGI(D10, D11, D12) is not able to hook"
2018/10/29;18:12:31.856;DEBUG;16488;00000000;HookD3D9@220;"hook_dxgi: failed to get system d3d9 module"
2018/10/29;18:12:31.856;DEBUG;16488;00000000;HookDXGI@173;"hook_dxgi: failed to get system dxgi module"
2018/10/29;18:12:31.856;DEBUG;16488;00000000;TryHook@515;"DXGI(D10, D11, D12) is not able to hook"
2018/10/29;18:12:31.897;DEBUG;16488;00000000;HookD3D9@220;"hook_dxgi: failed to get system d3d9 module"
2018/10/29;18:12:31.897;DEBUG;16488;00000000;HookDXGI@173;"hook_dxgi: failed to get system dxgi module"
2018/10/29;18:12:31.897;DEBUG;16488;00000000;TryHook@515;"DXGI(D10, D11, D12) is not able to hook"
2018/10/29;18:12:31.938;DEBUG;16488;00000000;HookD3D9@220;"hook_dxgi: failed to get system d3d9 module"
2018/10/29;18:12:31.938;DEBUG;16488;00000000;HookDXGI@173;"hook_dxgi: failed to get system dxgi module"
2018/10/29;18:12:31.938;DEBUG;16488;00000000;TryHook@515;"DXGI(D10, D11, D12) is not able to hook"
2018/10/29;18:12:31.980;DEBUG;16488;00000000;HookD3D9@220;"hook_dxgi: failed to get system d3d9 module"
2018/10/29;18:12:31.980;DEBUG;16488;00000000;HookDXGI@173;"hook_dxgi: failed to get system dxgi module"
2018/10/29;18:12:31.980;DEBUG;16488;00000000;TryHook@515;"DXGI(D10, D11, D12) is not able to hook"
2018/10/29;18:12:32.021;DEBUG;16488;00000000;HookD3D9@220;"hook_dxgi: failed to get system d3d9 module"
2018/10/29;18:12:32.021;DEBUG;16488;00000000;HookDXGI@173;"hook_dxgi: failed to get system dxgi module"
2018/10/29;18:12:32.021;DEBUG;16488;00000000;TryHook@515;"DXGI(D10, D11, D12) is not able to hook"
2018/10/29;18:12:32.062;DEBUG;16488;00000000;HookD3D9@220;"hook_dxgi: failed to get system d3d9 module"
2018/10/29;18:12:32.062;DEBUG;16488;00000000;HookDXGI@173;"hook_dxgi: failed to get system dxgi module"
2018/10/29;18:12:32.062;DEBUG;16488;00000000;TryHook@515;"DXGI(D10, D11, D12) is not able to hook"
2018/10/29;18:12:32.103;DEBUG;16488;00000000;HookD3D9@220;"hook_dxgi: failed to get system d3d9 module"
2018/10/29;18:12:32.103;DEBUG;16488;00000000;HookDXGI@173;"hook_dxgi: failed to get system dxgi module"
2018/10/29;18:12:32.103;DEBUG;16488;00000000;TryHook@515;"DXGI(D10, D11, D12) is not able to hook"
2018/10/29;18:12:32.144;DEBUG;16488;00000000;HookD3D9@220;"hook_dxgi: failed to get system d3d9 module"
2018/10/29;18:12:32.144;DEBUG;16488;00000000;HookDXGI@173;"hook_dxgi: failed to get system dxgi module"
2018/10/29;18:12:32.144;DEBUG;16488;00000000;TryHook@515;"DXGI(D10, D11, D12) is not able to hook"
2018/10/29;18:12:32.185;DEBUG;16488;00000000;HookD3D9@220;"hook_dxgi: failed to get system d3d9 module"
2018/10/29;18:12:32.185;DEBUG;16488;00000000;HookDXGI@173;"hook_dxgi: failed to get system dxgi module"
2018/10/29;18:12:32.185;DEBUG;16488;00000000;TryHook@515;"DXGI(D10, D11, D12) is not able to hook"
2018/10/29;18:12:32.226;DEBUG;16488;00000000;HookD3D9@220;"hook_dxgi: failed to get system d3d9 module"
2018/10/29;18:12:32.226;DEBUG;16488;00000000;HookDXGI@173;"hook_dxgi: failed to get system dxgi module"
2018/10/29;18:12:32.226;DEBUG;16488;00000000;TryHook@515;"DXGI(D10, D11, D12) is not able to hook"
2018/10/29;18:12:32.267;DEBUG;16488;00000000;HookD3D9@220;"hook_dxgi: failed to get system d3d9 module"
2018/10/29;18:12:32.267;DEBUG;16488;00000000;HookDXGI@173;"hook_dxgi: failed to get system dxgi module"
2018/10/29;18:12:32.267;DEBUG;16488;00000000;TryHook@515;"DXGI(D10, D11, D12) is not able to hook"
2018/10/29;18:12:32.308;DEBUG;16488;00000000;HookD3D9@220;"hook_dxgi: failed to get system d3d9 module"
2018/10/29;18:12:32.308;DEBUG;16488;00000000;HookDXGI@173;"hook_dxgi: failed to get system dxgi module"
2018/10/29;18:12:32.308;DEBUG;16488;00000000;TryHook@515;"DXGI(D10, D11, D12) is not able to hook"
2018/10/29;18:12:32.349;DEBUG;16488;00000000;HookD3D9@220;"hook_dxgi: failed to get system d3d9 module"
2018/10/29;18:12:32.349;DEBUG;16488;00000000;HookDXGI@173;"hook_dxgi: failed to get system dxgi module"
2018/10/29;18:12:32.349;DEBUG;16488;00000000;TryHook@515;"DXGI(D10, D11, D12) is not able to hook"
2018/10/29;18:12:32.390;DEBUG;16488;00000000;HookD3D9@220;"hook_dxgi: failed to get system d3d9 module"
2018/10/29;18:12:32.390;DEBUG;16488;00000000;HookDXGI@173;"hook_dxgi: failed to get system dxgi module"
2018/10/29;18:12:32.390;DEBUG;16488;00000000;TryHook@515;"DXGI(D10, D11, D12) is not able to hook"
2018/10/29;18:12:32.431;DEBUG;16488;00000000;HookD3D9@220;"hook_dxgi: failed to get system d3d9 module"
2018/10/29;18:12:32.431;DEBUG;16488;00000000;HookDXGI@173;"hook_dxgi: failed to get system dxgi module"
2018/10/29;18:12:32.431;DEBUG;16488;00000000;TryHook@515;"DXGI(D10, D11, D12) is not able to hook"
2018/10/29;18:12:32.472;DEBUG;16488;00000000;HookD3D9@220;"hook_dxgi: failed to get system d3d9 module"
2018/10/29;18:12:32.472;DEBUG;16488;00000000;HookDXGI@173;"hook_dxgi: failed to get system dxgi module"
2018/10/29;18:12:32.472;DEBUG;16488;00000000;TryHook@515;"DXGI(D10, D11, D12) is not able to hook"
2018/10/29;18:12:32.513;DEBUG;16488;00000000;HookD3D9@220;"hook_dxgi: failed to get system d3d9 module"
